,4385
CD NN IN DT NNS VBD VBN IN IN NNS CC CD .,2
"`` DT NNP NNP '' , `` DT NNP NNP IN NNP '' , `` NNP NNP POS NNP '' , `` VB IN EX .",1
DT NN VBD TO DT NN VBG VBN IN JJR IN DT NN IN DT NN .,1
"CD , NNP VBZ DT NNP NNP NNP WDT VBZ RB IN NN IN DT NNP POS CD JJ NNP .",1
"PRP VBD VBN RB TO VB DT NN TO DT JJ NN NN , WP VBD RB , IN DT NN , DT JJ NN : NNP NNP .",1
NNP VBD RB VBN IN NNP IN DT JJ CD .,1
NNP VBZ NN IN NNP NNP .,1
"`` , VBG IN `` NNP NNS VBP NNS RB VBP JJR IN NNS WDT VBP JJ CC NN , IN VBN TO VB .",1
"IN PRP$ JJ JJ NNP NN IN NNP CD , CD , `` DT NNP '' VBD VBN IN CD .",1
"RB , DT NN VBD RB VB TO DT JJ NNP IN DT CD NNS , VBG IN NN DT `` JJ NNS IN DT WDT VBD IN DT NN '' .",1
"DT NN IN DT RB VBN NN RB VBN , CC DT NN VBD VBN IN DT NNP TO NNP , RB VBG DT NNP IN DT NNP NNP .",1
"DT NN VBD DT RB JJ JJ WDT PRP VBD TO VB , RB DT JJ NN .",1
DT NN POS NN CC JJ NN VBD NNP NNP .,1
"IN CD , NNP VBD PRP$ JJ JJ NN .",1
DT NN VBZ RB VBN IN DT NNP POS NNP IN DT NNP NNP NNP NNP IN DT NNP NNP NN .,1
"NNP VBZ VBN RB IN DT JJ NN , VBN IN NNP NNP ( CD CD ) , VBD TO DT NN IN NNP NNP CD NN .",1
NNP CC NNP VBD IN DT NN MD VB PRP$ NN IN DT NNP NN VBG PRP$ NN IN DT JJ NN .,1
DT NN VBD VBN IN NNS NNP NNP CC NNP NNP IN DT JJ CD .,1
DT NN VBZ VBN IN DT NNS NNP NNP CC NNP IN PRP$ JJ NNS IN DT NNP NNP ( CD NN ) .,1
"NNP VBD DT JJ NN , WP VBD JJ JJ NN .",1
"NNS VBD NNP , CC RB NNP NNP CC NNP , IN WDT PRP VBD DT NN IN NNP NNP .",1
"CD NN ) , JJ ( CD .",3
CD NN IN DT NNP NNP .,1
"IN DT JJ JJ NN NN , DT JJ JJ NN VBZ DT NN VBN .",1
"IN NN NN , NNP VBD DT NNS IN DT JJ NNS IN JJ NNS VBN RP , IN CD , IN CD .",1
DT NNP .,1
NNP VBD VBN IN DT CD NN IN DT CD NNP NNP IN VBG NN NN IN NNP NNP NNP .,1
JJ NNP NNP NN .,1
"IN JJ NNS , NNS VBP RB VBN IN NNS .",1
"NNP NNP JJ NNS IN DT NN CD , CD NNP CD NN .",1
CD NNS ( CD .,7
DT NN IN NN VBZ VBN DT NN NN NN ( CC VB NN ) .,1
IN NNP NNP DT NNP NNP NNP VBD DT JJ JJ NN IN CD .,1
PRP VBD JJ JJ NNS IN DT NN IN NNS VBN IN JJ JJ JJ NN NNS : DT VBD PRP$ DT JJ NN TO VB VBN IN DT NN NN IN NN .,1
"IN NNP CD ( NNP ) : `` CC PRP VBD DT NN IN DT JJ NN NNP , CC DT NN IN DT JJ NNP , CC DT NN IN DT JJ JJ '' DT JJ JJ NNP NNP VBZ IN NNP MD VB CC `` NN '' CC `` NN '' , DT NN IN NN IN DT NNP NN NN NN .",1
"JJ NNS VBD JJ NNS CC VB CD NN NN IN NNP NN , WDT VBD VBN IN DT NN IN DT NN IN NNS CC NNS , CC RB DT JJ NN .",1
"IN CD IN PRP$ CD NNS IN DT NNP ( CD IN DT NN , CD IN NN ) , NNP VBD TO PRP$ NN NN , WRB PRP VBD IN NNP NNPS NNP NNP NNP CC NN NN NN .",1
CD ) .,7
"NNP VBZ VBN TO NN CC PRP$ NNS RB RB VB WRB PRP VBD TO VB , CC WRB PRP VBD IN DT NN ( `` RB IN IN DT NN IN PRP$ JJ NN '' , CD IN JJ JJ NN NNS IN DT NN ) .",1
"IN CD , DT NN ( IN DT NN ) VBD VBN IN JJ NN .",1
"NNP NNP NNP NN TO VB IN DT NN NNP NNP , CD NNP CD , JJ NN .",1
"NNP , CD NNP CD CD NNP CD JJS NNS VBN IN NNS NNP NNP , CD , CD NNP CD CD NNP CD NNP NN NNS VBN IN DT NN NNP NNP , CD , CD NNP CD , JJ NN .",1
"VBG TO JJ NN NNS , DT JJ JJ NN POS NN VBD RB VBN TO PRP IN CD IN VBG VBN VBN CD CC DT NN NNS RBR .",1
"PRP VBD DT JJ CD NNS IN DT NN NN NN , NNP NNP , WP VBD DT JJ JJ NN NN , VBD VBN IN DT JJ NN VBN IN NNP NNP IN DT JJ NN .",1
NN IN JJ CC JJ NN MD VB DT JJ NN IN DT JJ NN VBZ VBN .,1
VB PRP RP VBZ PRP IN DT NN IN DT NN IN PRP VBP TO VB DT JJ NN NN IN RB .,1
DT JJ NNS VBP IN DT NN IN NNP : NNP NNP NNP NNP NNP .,1
"IN DT NN , NNP MD RB VB DT CD NN IN DT NNP .",1
NNP POS NNP NNP TO DT NN : JJ NNP TO DT NNP NNP IN NNP .,1
"NN NN VBZ DT JJ NN RB DT NN IN NN CC NN VBZ VBN , VBG PRP JJ IN NNS TO VB JJ NNS .",1
"IN JJ NNS , DT NN NN IN JJ NN IN DT JJ NN VBD IN `` NNP , CD '' IN NNP NNP , VBD IN NNP POS IN $ CD .",1
"IN CD DT NN VBD DT RB JJ NN IN DT NNP NNP NNP , CC IN CD PRP VBD VBG IN DT NN IN DT NNP NNP NNP .",1
